AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
216.00,54.00,2.00,27.00,25.00,33.00,1.00,216.00,54.00,2.00,27.00,25.00,33.00,317.00,36.00,1.00,75.00
625.00,179.00,4.00,94.00,60.00,65.00,5.00,1696.00,476.00,12.00,216.00,163.00,166.00,303.00,450.00,14.00,575.00
243.00,53.00,4.00,18.00,26.00,27.00,4.00,853.00,228.00,23.00,101.00,110.00,76.00,107.00,3.00,3.00,
489.00,131.00,19.00,77.00,55.00,34.00,7.00,2051.00,549.00,62.00,300.00,263.00,153.00,310.00,9.00,9.00,780.00
209.00,56.00,12.00,22.00,36.00,19.00,2.00,216.00,58.00,12.00,24.00,37.00,19.00,201.00,6.00,3.00,90.00
407.00,93.00,8.00,47.00,30.00,30.00,2.00,969.00,230.00,14.00,121.00,69.00,68.00,172.00,317.00,25.00,150.00
490.00,148.00,14.00,64.00,78.00,49.00,13.00,3400.00,1000.00,113.00,445.00,491.00,301.00,0.00,0.00,0.00,700.00
209.00,59.00,6.00,20.00,37.00,27.00,4.00,884.00,209.00,14.00,66.00,106.00,92.00,415.00,35.00,3.00,
442.00,131.00,18.00,68.00,77.00,33.00,6.00,1416.00,398.00,47.00,210.00,203.00,136.00,233.00,7.00,7.00,550.00
317.00,88.00,3.00,40.00,32.00,19.00,8.00,2543.00,715.00,28.00,269.00,270.00,118.00,220.00,16.00,4.00,
288.00,65.00,8.00,30.00,36.00,27.00,9.00,2815.00,698.00,55.00,315.00,325.00,189.00,259.00,30.00,10.00,650.00
209.00,54.00,3.00,25.00,14.00,12.00,1.00,209.00,54.00,3.00,25.00,14.00,12.00,102.00,6.00,3.00,68.00
303.00,71.00,3.00,18.00,30.00,36.00,3.00,344.00,76.00,3.00,20.00,36.00,45.00,468.00,47.00,6.00,100.00
330.00,77.00,19.00,47.00,53.00,27.00,6.00,1928.00,516.00,90.00,247.00,288.00,161.00,149.00,8.00,6.00,670.00
504.00,120.00,28.00,71.00,71.00,54.00,3.00,1085.00,259.00,54.00,150.00,167.00,114.00,103.00,283.00,19.00,175.00
258.00,60.00,8.00,28.00,33.00,18.00,3.00,638.00,170.00,17.00,80.00,75.00,36.00,358.00,32.00,8.00,137.00
20.00,1.00,0.00,0.00,0.00,0.00,2.00,41.00,9.00,2.00,6.00,7.00,4.00,78.00,220.00,6.00,2127.33
374.00,94.00,5.00,36.00,26.00,62.00,7.00,1968.00,519.00,26.00,181.00,199.00,288.00,756.00,64.00,15.00,875.00
211.00,43.00,10.00,26.00,35.00,39.00,3.00,498.00,116.00,14.00,59.00,55.00,78.00,463.00,32.00,8.00,120.00
299.00,75.00,6.00,38.00,23.00,26.00,3.00,580.00,160.00,8.00,71.00,33.00,44.00,212.00,1.00,2.00,140.00
576.00,167.00,8.00,89.00,49.00,57.00,4.00,822.00,232.00,19.00,132.00,83.00,79.00,325.00,12.00,8.00,210.00
381.00,110.00,9.00,61.00,45.00,32.00,7.00,3015.00,834.00,40.00,451.00,249.00,168.00,228.00,7.00,5.00,800.00
288.00,76.00,7.00,34.00,37.00,15.00,4.00,1644.00,408.00,16.00,198.00,120.00,113.00,203.00,3.00,3.00,240.00
369.00,93.00,9.00,43.00,42.00,49.00,5.00,1258.00,323.00,54.00,181.00,177.00,157.00,149.00,1.00,6.00,350.00
330.00,76.00,12.00,35.00,41.00,47.00,4.00,1367.00,326.00,55.00,167.00,198.00,167.00,512.00,30.00,5.00,
547.00,137.00,2.00,58.00,47.00,12.00,2.00,1038.00,271.00,3.00,129.00,80.00,24.00,261.00,459.00,22.00,175.00
572.00,152.00,18.00,105.00,49.00,65.00,2.00,978.00,249.00,36.00,168.00,91.00,101.00,325.00,13.00,3.00,200.00
359.00,84.00,4.00,46.00,27.00,21.00,12.00,4992.00,1257.00,37.00,699.00,386.00,387.00,151.00,8.00,5.00,
514.00,144.00,0.00,67.00,54.00,79.00,9.00,4739.00,1169.00,13.00,583.00,374.00,528.00,229.00,453.00,15.00,1940.00
359.00,80.00,15.00,45.00,48.00,63.00,7.00,1493.00,359.00,61.00,176.00,202.00,175.00,682.00,93.00,13.00,700.00
526.00,163.00,12.00,88.00,50.00,77.00,4.00,1556.00,470.00,38.00,245.00,167.00,174.00,250.00,11.00,1.00,750.00
313.00,83.00,9.00,43.00,41.00,30.00,14.00,5885.00,1543.00,104.00,751.00,714.00,535.00,58.00,141.00,23.00,450.00
540.00,135.00,30.00,82.00,88.00,55.00,1.00,540.00,135.00,30.00,82.00,88.00,55.00,157.00,6.00,14.00,172.00
437.00,123.00,9.00,62.00,55.00,40.00,9.00,4139.00,1203.00,79.00,676.00,390.00,364.00,82.00,170.00,15.00,1260.00
551.00,160.00,23.00,86.00,90.00,87.00,5.00,2235.00,602.00,75.00,278.00,328.00,273.00,1224.00,115.00,11.00,
237.00,52.00,0.00,15.00,25.00,30.00,24.00,14053.00,4256.00,160.00,2165.00,1314.00,1566.00,523.00,43.00,6.00,750.00
236.00,56.00,6.00,41.00,19.00,21.00,5.00,1257.00,329.00,24.00,166.00,125.00,105.00,172.00,1.00,4.00,190.00
473.00,154.00,6.00,61.00,48.00,29.00,6.00,1966.00,566.00,29.00,250.00,252.00,178.00,846.00,84.00,9.00,580.00
309.00,72.00,0.00,33.00,31.00,26.00,5.00,354.00,82.00,0.00,41.00,32.00,26.00,117.00,269.00,12.00,130.00
271.00,77.00,5.00,35.00,29.00,33.00,12.00,4933.00,1358.00,48.00,630.00,435.00,403.00,62.00,90.00,3.00,450.00
357.00,96.00,7.00,50.00,45.00,39.00,5.00,1394.00,344.00,43.00,178.00,192.00,136.00,167.00,2.00,4.00,300.00
216.00,56.00,4.00,22.00,18.00,15.00,12.00,2796.00,665.00,43.00,266.00,304.00,198.00,391.00,44.00,4.00,250.00
256.00,70.00,13.00,42.00,36.00,44.00,16.00,7058.00,1845.00,312.00,965.00,1128.00,990.00,41.00,118.00,8.00,1050.00
466.00,108.00,33.00,75.00,86.00,72.00,3.00,652.00,142.00,44.00,102.00,109.00,102.00,286.00,8.00,8.00,215.00
327.00,68.00,13.00,42.00,29.00,45.00,18.00,3949.00,939.00,78.00,438.00,380.00,466.00,659.00,53.00,7.00,400.00
462.00,119.00,16.00,49.00,65.00,37.00,7.00,2131.00,583.00,69.00,244.00,288.00,150.00,866.00,65.00,6.00,
341.00,110.00,9.00,45.00,49.00,46.00,9.00,2331.00,658.00,50.00,249.00,322.00,274.00,251.00,9.00,4.00,560.00
608.00,160.00,28.00,130.00,74.00,89.00,8.00,4071.00,1182.00,103.00,862.00,417.00,708.00,426.00,4.00,6.00,1670.00
419.00,101.00,18.00,65.00,58.00,92.00,20.00,9528.00,2510.00,548.00,1509.00,1659.00,1342.00,0.00,0.00,0.00,487.50
33.00,6.00,0.00,2.00,4.00,7.00,1.00,33.00,6.00,0.00,2.00,4.00,7.00,205.00,5.00,4.00,
376.00,82.00,21.00,42.00,60.00,35.00,5.00,1770.00,408.00,115.00,238.00,299.00,157.00,0.00,0.00,0.00,425.00
486.00,145.00,11.00,51.00,76.00,40.00,11.00,3967.00,1102.00,67.00,410.00,497.00,284.00,88.00,204.00,16.00,500.00
186.00,44.00,7.00,28.00,16.00,11.00,1.00,186.00,44.00,7.00,28.00,16.00,11.00,99.00,3.00,1.00,
307.00,80.00,1.00,42.00,36.00,29.00,7.00,2421.00,656.00,18.00,379.00,198.00,184.00,145.00,2.00,2.00,
246.00,76.00,5.00,35.00,39.00,13.00,6.00,912.00,234.00,12.00,102.00,96.00,80.00,44.00,0.00,1.00,250.00
205.00,52.00,8.00,31.00,27.00,17.00,12.00,5134.00,1323.00,56.00,643.00,445.00,459.00,155.00,3.00,2.00,400.00
348.00,90.00,11.00,50.00,45.00,43.00,10.00,2288.00,614.00,43.00,295.00,273.00,269.00,60.00,176.00,6.00,450.00
523.00,135.00,8.00,52.00,44.00,52.00,9.00,3368.00,895.00,39.00,377.00,284.00,296.00,367.00,475.00,19.00,750.00
312.00,68.00,2.00,32.00,22.00,24.00,1.00,312.00,68.00,2.00,32.00,22.00,24.00,86.00,150.00,15.00,70.00
496.00,119.00,8.00,57.00,33.00,21.00,7.00,3358.00,882.00,36.00,365.00,280.00,165.00,155.00,371.00,29.00,875.00
126.00,27.00,3.00,8.00,10.00,5.00,4.00,239.00,49.00,3.00,16.00,13.00,14.00,190.00,2.00,9.00,190.00
275.00,68.00,5.00,42.00,42.00,61.00,6.00,961.00,238.00,16.00,128.00,104.00,172.00,181.00,3.00,2.00,191.00
627.00,178.00,14.00,68.00,76.00,46.00,6.00,3146.00,902.00,74.00,494.00,345.00,242.00,309.00,492.00,5.00,740.00
394.00,86.00,1.00,38.00,28.00,36.00,4.00,1089.00,267.00,3.00,94.00,71.00,76.00,203.00,369.00,16.00,250.00
208.00,57.00,8.00,32.00,25.00,18.00,3.00,653.00,170.00,17.00,98.00,54.00,62.00,42.00,94.00,13.00,140.00
382.00,101.00,16.00,50.00,55.00,22.00,1.00,382.00,101.00,16.00,50.00,55.00,22.00,200.00,7.00,6.00,97.50
459.00,113.00,20.00,59.00,57.00,68.00,12.00,5348.00,1369.00,155.00,713.00,660.00,735.00,0.00,0.00,0.00,740.00
549.00,149.00,7.00,73.00,47.00,42.00,1.00,549.00,149.00,7.00,73.00,47.00,42.00,255.00,450.00,17.00,140.00
288.00,63.00,3.00,25.00,33.00,16.00,10.00,2682.00,667.00,38.00,315.00,259.00,204.00,135.00,257.00,7.00,341.67
303.00,84.00,4.00,35.00,32.00,23.00,2.00,312.00,87.00,4.00,39.00,32.00,23.00,179.00,5.00,3.00,
522.00,163.00,9.00,82.00,46.00,62.00,13.00,7037.00,2019.00,153.00,1043.00,827.00,535.00,352.00,9.00,1.00,1000.00
512.00,117.00,29.00,54.00,88.00,43.00,6.00,1750.00,412.00,100.00,204.00,276.00,155.00,1236.00,98.00,18.00,100.00
220.00,66.00,5.00,20.00,28.00,13.00,3.00,290.00,80.00,5.00,27.00,31.00,15.00,281.00,21.00,3.00,90.00
522.00,140.00,16.00,73.00,77.00,60.00,4.00,730.00,185.00,22.00,93.00,106.00,86.00,1320.00,166.00,17.00,200.00
461.00,112.00,18.00,54.00,54.00,35.00,2.00,680.00,160.00,24.00,76.00,75.00,49.00,111.00,226.00,11.00,135.00
581.00,145.00,17.00,66.00,68.00,21.00,2.00,831.00,210.00,21.00,106.00,86.00,40.00,320.00,465.00,32.00,155.00
530.00,159.00,3.00,82.00,50.00,47.00,6.00,1619.00,426.00,11.00,218.00,149.00,163.00,196.00,354.00,15.00,475.00
557.00,142.00,21.00,58.00,81.00,23.00,18.00,8759.00,2583.00,271.00,1138.00,1299.00,478.00,1160.00,53.00,7.00,1450.00
439.00,96.00,0.00,44.00,36.00,65.00,4.00,711.00,148.00,1.00,68.00,56.00,99.00,229.00,406.00,22.00,150.00
453.00,103.00,8.00,53.00,33.00,52.00,2.00,507.00,123.00,8.00,63.00,39.00,58.00,289.00,407.00,6.00,105.00
528.00,122.00,1.00,67.00,45.00,51.00,4.00,1716.00,403.00,12.00,211.00,146.00,155.00,209.00,372.00,17.00,350.00
633.00,210.00,6.00,91.00,56.00,59.00,6.00,3070.00,872.00,19.00,420.00,230.00,274.00,367.00,432.00,16.00,90.00
16.00,2.00,0.00,1.00,0.00,0.00,2.00,28.00,4.00,0.00,1.00,0.00,0.00,247.00,4.00,8.00,
562.00,169.00,17.00,88.00,73.00,53.00,8.00,3181.00,841.00,61.00,450.00,342.00,373.00,351.00,442.00,17.00,530.00
281.00,76.00,3.00,42.00,25.00,20.00,8.00,2658.00,657.00,48.00,324.00,300.00,179.00,106.00,144.00,7.00,341.67
593.00,152.00,23.00,69.00,75.00,53.00,6.00,2765.00,686.00,133.00,369.00,384.00,321.00,315.00,10.00,6.00,940.00
687.00,213.00,10.00,91.00,65.00,27.00,4.00,1518.00,448.00,15.00,196.00,137.00,89.00,294.00,445.00,13.00,350.00
368.00,103.00,3.00,48.00,28.00,54.00,8.00,1897.00,493.00,9.00,207.00,162.00,198.00,209.00,246.00,3.00,326.67
263.00,70.00,1.00,26.00,23.00,30.00,4.00,888.00,220.00,9.00,83.00,82.00,86.00,81.00,147.00,4.00,250.00
642.00,211.00,14.00,107.00,59.00,52.00,5.00,2364.00,770.00,27.00,352.00,230.00,193.00,337.00,19.00,4.00,740.00
265.00,68.00,8.00,26.00,30.00,29.00,7.00,1337.00,339.00,32.00,135.00,163.00,128.00,92.00,5.00,3.00,425.00
289.00,63.00,7.00,36.00,41.00,44.00,17.00,7402.00,1954.00,195.00,1115.00,919.00,1153.00,166.00,211.00,7.00,
559.00,141.00,2.00,48.00,61.00,73.00,8.00,3162.00,874.00,16.00,421.00,349.00,359.00,352.00,414.00,9.00,925.00
520.00,120.00,17.00,53.00,44.00,21.00,4.00,927.00,227.00,22.00,106.00,80.00,52.00,70.00,144.00,11.00,185.00
19.00,4.00,1.00,2.00,3.00,1.00,1.00,19.00,4.00,1.00,2.00,3.00,1.00,692.00,70.00,8.00,920.00
205.00,43.00,2.00,24.00,17.00,20.00,7.00,854.00,219.00,12.00,105.00,99.00,71.00,131.00,6.00,1.00,286.67
193.00,47.00,10.00,21.00,29.00,24.00,6.00,1136.00,256.00,42.00,129.00,139.00,106.00,299.00,13.00,5.00,245.00
181.00,46.00,1.00,19.00,18.00,17.00,5.00,937.00,238.00,9.00,88.00,95.00,104.00,37.00,98.00,9.00,
213.00,61.00,4.00,17.00,22.00,3.00,17.00,4061.00,1145.00,83.00,488.00,491.00,244.00,178.00,45.00,4.00,235.00
510.00,147.00,10.00,56.00,52.00,53.00,7.00,2872.00,821.00,63.00,307.00,340.00,174.00,810.00,99.00,18.00,1150.00
578.00,138.00,1.00,56.00,59.00,34.00,3.00,1399.00,357.00,7.00,149.00,161.00,87.00,133.00,371.00,20.00,160.00
200.00,51.00,2.00,14.00,29.00,25.00,23.00,9778.00,2732.00,379.00,1272.00,1652.00,925.00,398.00,29.00,7.00,
441.00,113.00,5.00,76.00,52.00,76.00,5.00,1546.00,397.00,17.00,226.00,149.00,191.00,160.00,290.00,11.00,425.00
172.00,42.00,3.00,17.00,14.00,15.00,10.00,4086.00,1150.00,57.00,579.00,363.00,406.00,65.00,0.00,0.00,900.00
580.00,194.00,9.00,91.00,62.00,78.00,8.00,3372.00,1028.00,48.00,604.00,314.00,469.00,270.00,13.00,6.00,
127.00,32.00,4.00,14.00,25.00,12.00,19.00,8396.00,2402.00,242.00,1048.00,1348.00,819.00,167.00,18.00,6.00,500.00
279.00,69.00,4.00,35.00,31.00,32.00,4.00,1359.00,355.00,31.00,180.00,148.00,158.00,133.00,173.00,9.00,277.50
480.00,112.00,18.00,50.00,71.00,44.00,7.00,3031.00,771.00,110.00,338.00,406.00,239.00,94.00,270.00,16.00,750.00
600.00,139.00,0.00,94.00,29.00,60.00,2.00,1236.00,309.00,1.00,201.00,69.00,110.00,300.00,12.00,9.00,160.00
610.00,186.00,19.00,107.00,98.00,74.00,6.00,2728.00,753.00,69.00,399.00,366.00,286.00,1182.00,96.00,13.00,1300.00
360.00,81.00,5.00,37.00,44.00,37.00,7.00,2268.00,566.00,41.00,279.00,257.00,246.00,170.00,284.00,3.00,525.00
387.00,124.00,1.00,67.00,27.00,36.00,7.00,1775.00,506.00,6.00,272.00,125.00,194.00,186.00,290.00,17.00,550.00
580.00,207.00,8.00,107.00,71.00,105.00,5.00,2778.00,978.00,32.00,474.00,322.00,417.00,121.00,267.00,19.00,1600.00
408.00,117.00,11.00,66.00,41.00,34.00,1.00,408.00,117.00,11.00,66.00,41.00,34.00,942.00,72.00,11.00,120.00
593.00,172.00,22.00,82.00,100.00,57.00,1.00,593.00,172.00,22.00,82.00,100.00,57.00,1222.00,139.00,15.00,165.00
221.00,53.00,2.00,21.00,23.00,22.00,8.00,1063.00,283.00,15.00,107.00,124.00,106.00,325.00,58.00,6.00,
497.00,127.00,7.00,65.00,48.00,37.00,5.00,2703.00,806.00,32.00,379.00,311.00,138.00,325.00,9.00,3.00,700.00
492.00,136.00,5.00,76.00,50.00,94.00,12.00,5511.00,1511.00,39.00,897.00,451.00,875.00,313.00,381.00,20.00,875.00
475.00,126.00,3.00,61.00,43.00,52.00,6.00,1700.00,433.00,7.00,217.00,93.00,146.00,37.00,113.00,7.00,385.00
573.00,144.00,9.00,85.00,60.00,78.00,8.00,3198.00,857.00,97.00,470.00,420.00,332.00,1314.00,131.00,12.00,960.00
631.00,170.00,9.00,77.00,44.00,31.00,11.00,4908.00,1457.00,30.00,775.00,357.00,249.00,408.00,4.00,3.00,1000.00
