biden,female,age,educ,dem,rep
70,0,35,16,0,0
50,1,79,11,1,0
85,0,65,10,0,0
100,1,40,17,0,0
100,0,23,14,1,0
70,0,27,14,0,0
50,1,49,16,0,1
30,0,71,12,0,1
100,0,37,12,1,0
40,1,45,12,1,0
30,0,50,16,0,1
70,0,42,12,0,1
60,0,61,13,0,1
50,0,64,12,0,1
60,0,39,0,1,0
50,1,44,17,1,0
100,1,74,9,1,0
0,1,58,12,0,0
0,0,65,11,0,1
100,1,64,17,1,0
70,1,41,17,1,0
70,1,78,14,0,1
30,1,82,12,1,0
40,0,50,17,0,0
85,1,76,14,1,0
50,1,67,9,0,1
60,0,37,9,1,0
100,0,75,6,1,0
100,1,65,8,1,0
50,1,51,12,0,0
40,1,75,12,0,1
85,0,64,12,1,0
0,0,63,17,0,0
70,1,58,12,1,0
50,0,47,14,0,0
50,0,38,14,0,1
50,1,27,12,0,1
15,1,66,16,0,1
40,1,52,12,0,1
70,1,65,14,1,0
60,1,60,13,0,0
70,0,50,4,1,0
60,1,47,11,1,0
85,1,58,16,1,0
50,1,56,17,0,1
25,0,25,13,0,0
50,1,66,16,0,0
50,0,52,16,0,0
85,1,39,15,1,0
100,1,86,12,0,0
100,1,78,12,1,0
70,0,57,12,1,0
70,1,24,16,1,0
100,1,39,17,1,0
100,1,62,12,1,0
0,1,34,14,0,1
70,0,60,16,1,0
70,0,56,13,0,1
60,0,58,12,1,0
75,0,27,10,0,0
60,1,57,13,0,0
50,0,53,12,0,1
85,0,23,16,1,0
85,0,78,12,1,0
85,1,72,12,1,0
15,0,62,17,0,0
70,1,23,12,0,0
50,1,65,14,1,0
85,1,32,17,0,0
100,0,67,12,0,0
30,0,67,17,0,1
30,0,73,12,1,0
60,1,81,12,0,0
85,1,34,16,1,0
85,1,74,17,1,0
85,1,25,16,1,0
85,1,74,14,1,0
40,1,75,12,0,1
85,1,65,14,1,0
90,1,65,12,1,0
40,1,46,16,0,1
50,0,51,16,0,1
70,0,78,7,1,0
70,0,36,13,1,0
85,0,60,14,1,0
40,1,51,12,1,0
50,1,87,6,1,0
70,1,79,12,1,0
70,1,30,17,0,0
70,1,57,14,1,0
60,0,27,16,1,0
60,1,68,13,0,0
50,1,26,13,0,0
70,0,42,12,0,0
10,0,46,17,0,1
50,1,31,16,1,0
50,0,56,14,0,1
100,0,55,12,1,0
60,0,70,16,0,0
70,1,56,16,1,0
60,1,74,12,0,1
70,1,37,14,1,0
100,1,72,12,1,0
50,0,57,16,0,1
100,1,74,12,0,0
30,0,75,15,0,0
100,0,61,16,1,0
70,0,56,12,1,0
100,0,33,17,1,0
85,1,50,15,1,0
50,1,64,14,1,0
85,1,65,12,1,0
100,1,46,12,1,0
85,0,69,12,1,0
85,0,64,12,0,0
30,0,74,14,0,1
15,0,53,14,0,1
0,0,77,16,0,1
60,0,28,14,0,0
60,0,57,12,0,0
50,0,35,16,0,1
0,0,62,14,0,1
85,1,61,14,1,0
70,1,48,15,0,1
50,0,35,12,0,1
30,1,72,12,0,1
30,1,48,12,0,1
70,0,70,17,1,0
15,0,24,12,0,0
85,1,59,17,1,0
85,0,80,17,0,0
15,1,46,11,1,0
70,1,43,17,1,0
30,1,78,16,0,0
50,0,55,12,0,0
50,1,52,12,1,0
70,0,44,17,1,0
100,1,60,12,1,0
70,1,71,17,0,0
30,1,57,12,0,1
100,1,70,15,1,0
70,0,39,17,1,0
85,1,30,14,1,0
100,1,50,13,1,0
50,0,44,12,1,0
40,1,77,12,0,1
100,0,45,12,1,0
85,1,27,17,1,0
85,1,64,16,1,0
50,0,22,13,0,0
85,1,69,13,1,0
60,1,35,14,1,0
30,0,57,12,0,1
15,0,41,15,0,1
60,1,43,12,1,0
50,0,62,13,0,1
50,1,63,12,1,0
30,1,26,16,0,1
70,0,39,16,0,0
60,1,72,12,1,0
50,1,48,13,0,1
30,0,35,11,1,0
40,1,47,12,0,1
60,1,30,17,1,0
15,1,48,14,0,1
70,1,38,12,0,0
70,1,25,16,1,0
85,1,42,12,1,0
50,1,37,17,0,0
85,1,34,16,1,0
40,1,42,14,0,0
30,0,55,12,0,1
85,0,67,17,1,0
15,1,60,12,0,1
85,1,56,11,1,0
60,1,70,12,0,1
85,1,65,12,1,0
100,1,75,10,1,0
60,1,30,15,0,0
85,1,58,12,1,0
60,1,38,16,1,0
30,1,67,14,0,1
50,1,46,12,1,0
60,0,38,16,0,1
85,1,62,12,0,0
85,1,50,14,1,0
100,0,58,12,1,0
50,0,44,13,1,0
70,0,47,17,0,1
70,0,84,11,0,0
90,1,75,16,0,1
50,0,38,15,0,0
50,1,41,17,0,1
60,0,32,17,1,0
60,0,48,12,0,0
60,0,46,13,1,0
100,1,52,15,0,0
0,0,39,12,0,0
100,1,49,12,1,0
40,1,68,14,0,1
40,1,40,13,1,0
50,0,68,12,0,1
30,0,20,12,0,0
70,1,33,17,1,0
70,1,48,16,1,0
100,1,39,14,1,0
40,1,52,16,0,1
85,0,73,12,1,0
60,0,47,17,0,0
100,1,59,10,1,0
50,0,48,17,0,0
70,1,58,14,0,0
100,1,20,13,1,0
100,1,25,12,1,0
50,1,80,12,0,1
70,0,35,15,0,0
85,0,57,12,1,0
50,0,59,12,1,0
40,0,48,14,0,1
60,0,27,13,0,0
60,1,47,12,0,0
60,0,67,10,1,0
60,1,48,13,0,0
60,1,66,12,0,0
70,1,29,13,1,0
85,1,66,13,1,0
50,1,62,12,0,0
40,0,32,12,1,0
0,1,66,17,0,0
50,0,30,14,0,1
70,1,87,12,0,0
100,1,37,12,1,0
50,1,56,13,0,0
60,0,59,12,0,1
60,0,27,16,0,0
85,1,61,12,1,0
70,1,73,12,1,0
100,1,63,13,1,0
40,0,25,15,0,1
60,1,52,12,0,1
70,1,24,12,0,1
60,1,26,17,0,0
50,1,53,12,0,1
50,1,59,12,0,1
85,0,32,12,0,0
85,1,57,8,1,0
85,1,39,12,1,0
70,0,47,17,0,0
70,1,32,14,0,0
15,1,41,14,0,1
85,1,33,17,1,0
70,0,36,12,0,0
60,1,56,17,0,0
70,1,52,17,1,0
50,1,40,12,0,0
40,1,55,12,1,0
100,1,54,16,0,0
70,0,24,15,1,0
70,0,76,12,1,0
60,0,38,17,0,0
85,1,34,12,1,0
60,1,67,12,0,0
60,1,37,12,1,0
40,0,60,12,1,0
60,1,50,17,0,1
85,0,57,14,1,0
85,1,69,12,0,0
100,1,44,17,1,0
85,0,32,16,1,0
60,0,54,17,0,1
40,0,50,16,0,0
85,0,30,12,0,0
70,1,51,16,1,0
15,1,69,14,0,0
50,1,50,13,1,0
70,1,41,12,1,0
70,1,74,16,0,0
0,0,32,16,1,0
70,1,62,16,1,0
85,0,51,16,1,0
85,1,49,13,1,0
50,0,28,12,0,0
60,1,66,17,1,0
30,0,45,12,0,1
50,1,36,14,1,0
100,1,84,12,0,0
50,1,34,14,0,0
60,0,28,12,1,0
60,0,24,16,0,0
60,1,54,17,1,0
15,0,60,15,0,0
70,0,47,12,0,0
88,0,32,17,1,0
85,1,51,16,1,0
70,0,50,17,1,0
85,0,32,17,0,0
50,0,37,17,0,0
50,1,40,13,1,0
60,1,26,13,0,0
70,1,83,14,0,0
30,0,30,12,0,1
70,0,61,13,0,0
50,1,33,11,1,0
85,0,54,12,1,0
50,1,73,16,0,0
55,0,32,16,0,0
85,1,53,12,0,0
40,0,26,12,0,1
30,1,37,13,0,0
50,1,52,13,1,0
30,1,30,15,0,1
80,1,54,13,1,0
75,1,47,16,0,0
70,1,52,11,0,0
85,0,36,12,1,0
85,1,66,17,1,0
70,0,85,12,1,0
85,1,45,14,1,0
85,0,67,12,1,0
60,1,36,16,0,1
100,0,83,4,1,0
50,0,48,12,0,1
50,1,30,13,0,0
50,0,31,15,1,0
85,1,58,17,1,0
70,0,46,10,0,1
50,0,40,12,1,0
70,0,71,14,0,1
100,1,36,12,1,0
60,0,31,14,0,1
55,1,31,17,0,1
50,0,36,17,0,1
30,1,54,15,0,0
75,0,78,9,0,1
85,0,52,14,1,0
70,1,30,16,0,0
60,1,53,12,1,0
85,1,63,12,0,0
100,0,40,12,1,0
15,0,72,12,0,1
100,0,82,11,1,0
100,1,31,11,1,0
85,1,29,14,0,0
85,1,53,13,1,0
60,1,74,10,0,0
40,1,53,14,0,1
100,0,57,12,1,0
50,0,79,17,1,0
85,1,38,17,1,0
100,0,40,12,1,0
100,1,69,12,1,0
60,0,49,12,0,0
60,0,43,12,0,1
70,0,47,14,1,0
40,1,41,16,0,1
50,1,47,11,1,0
85,0,77,13,1,0
70,1,67,16,0,0
100,0,57,14,1,0
50,1,28,12,0,0
85,1,64,12,1,0
70,1,25,17,1,0
70,0,62,16,0,0
70,1,42,14,0,0
85,0,77,17,0,0
60,0,44,12,1,0
30,0,54,12,1,0
85,1,69,13,0,0
70,0,55,16,1,0
85,1,47,12,0,0
30,1,46,14,0,0
85,0,35,17,0,0
85,1,40,12,1,0
100,0,80,12,1,0
100,1,55,12,1,0
60,0,55,16,1,0
85,1,54,14,1,0
50,1,54,12,0,1
60,1,33,16,0,0
85,1,56,14,1,0
50,0,26,14,0,0
50,0,34,16,0,1
15,0,43,12,0,0
50,0,56,16,1,0
95,0,50,13,1,0
40,1,59,17,0,0
85,1,64,9,1,0
85,1,27,17,1,0
70,1,40,12,1,0
70,1,34,12,0,0
60,1,55,14,0,1
30,0,45,12,0,0
0,1,33,13,0,0
50,1,42,12,1,0
60,0,34,14,1,0
70,1,47,11,1,0
85,0,70,10,1,0
100,1,64,14,1,0
70,1,61,17,1,0
60,0,71,6,0,1
60,1,36,12,0,1
60,1,69,15,1,0
70,1,24,14,1,0
50,1,35,12,1,0
60,0,61,16,0,0
90,1,23,15,0,0
30,0,54,13,0,1
60,1,53,17,0,0
60,1,39,16,0,1
100,0,27,12,1,0
50,1,46,16,0,1
50,1,38,14,0,1
70,1,39,17,1,0
30,0,60,16,0,0
50,0,37,13,1,0
100,1,57,12,1,0
70,1,40,14,0,0
85,0,37,12,1,0
70,0,46,14,1,0
50,1,65,16,0,1
70,1,35,16,1,0
90,0,32,13,1,0
70,0,49,16,1,0
70,0,55,14,0,0
50,1,33,15,0,0
0,1,24,15,0,0
70,1,68,13,1,0
85,1,48,17,1,0
40,0,70,14,0,1
70,0,35,16,1,0
50,1,61,13,0,0
50,1,41,16,0,1
85,0,32,15,1,0
85,1,36,12,1,0
40,0,36,16,0,1
100,0,43,14,1,0
70,1,82,12,1,0
70,0,59,17,0,0
50,1,51,13,0,0
50,1,78,14,0,1
85,0,63,17,1,0
0,1,45,12,0,1
50,0,75,12,0,1
30,1,43,15,0,1
85,1,40,16,1,0
15,0,44,14,0,1
40,1,25,16,0,1
60,1,71,11,1,0
30,0,57,17,0,1
0,0,27,14,0,0
85,0,69,17,0,0
40,0,22,15,0,0
50,1,45,13,0,1
70,1,69,17,1,0
100,0,41,13,1,0
85,1,78,16,1,0
0,0,77,16,0,1
70,0,63,14,0,0
95,1,39,12,1,0
40,0,32,17,0,0
85,0,70,12,1,0
60,0,86,8,1,0
85,0,91,12,1,0
15,1,57,17,0,0
100,0,38,16,1,0
85,1,40,14,0,0
70,1,64,12,1,0
60,1,58,12,0,0
85,1,30,16,1,0
70,1,56,17,0,0
50,1,31,12,0,1
100,1,61,13,1,0
60,0,45,15,0,0
70,1,40,14,1,0
100,1,49,14,1,0
85,1,59,17,1,0
85,0,80,8,1,0
30,1,67,13,0,1
30,1,37,16,0,1
60,0,57,14,0,0
50,0,49,13,0,0
60,0,52,17,1,0
100,1,91,12,1,0
85,1,50,13,1,0
60,1,66,16,1,0
85,1,58,12,1,0
60,1,34,12,0,0
85,0,46,17,1,0
70,0,34,12,1,0
75,0,31,16,1,0
50,0,22,14,0,0
85,1,61,11,1,0
30,1,66,17,0,1
50,0,90,12,0,1
50,1,67,12,0,1
60,1,49,14,1,0
40,1,31,14,1,0
60,1,65,16,0,0
60,1,78,13,0,1
40,1,52,17,0,1
85,0,27,16,0,0
70,0,37,12,1,0
60,1,48,17,1,0
100,0,41,14,1,0
60,1,31,16,0,1
100,1,48,12,1,0
50,1,58,12,0,1
85,1,45,14,1,0
40,1,51,10,1,0
50,1,73,14,0,1
40,0,72,13,0,1
40,0,57,14,0,0
100,1,59,14,1,0
70,0,46,14,0,0
60,0,50,12,0,0
70,1,65,12,1,0
50,1,53,16,1,0
100,0,85,3,1,0
60,1,57,16,0,0
85,1,50,15,1,0
85,1,52,13,1,0
85,1,25,13,1,0
85,0,48,16,1,0
60,0,77,12,1,0
70,1,48,14,0,0
85,1,35,17,1,0
70,1,44,17,1,0
85,1,27,9,0,0
70,0,37,12,1,0
30,1,26,17,0,1
15,0,62,15,0,1
60,1,44,12,1,0
70,0,27,17,1,0
50,1,37,14,0,0
100,1,46,16,1,0
50,0,38,13,0,0
85,0,68,12,0,0
85,0,49,17,1,0
85,1,53,14,1,0
50,1,37,12,0,0
100,1,63,14,1,0
100,1,56,13,1,0
30,1,25,17,0,1
50,1,77,14,0,0
50,1,30,16,0,1
85,1,51,17,0,0
40,1,76,14,0,1
50,0,52,14,0,0
15,1,24,16,0,0
50,1,29,15,0,1
60,0,57,16,1,0
70,1,26,13,1,0
70,1,58,17,1,0
50,1,29,17,1,0
85,1,68,14,0,0
50,1,57,16,0,0
40,1,31,17,0,1
85,0,63,12,1,0
15,0,36,15,0,1
85,0,31,12,1,0
60,0,57,16,0,0
70,0,52,16,1,0
85,0,49,14,1,0
40,0,44,17,0,0
40,1,65,17,0,1
50,0,46,16,0,0
40,0,51,15,1,0
50,1,50,15,0,0
70,1,51,13,0,0
15,1,65,15,0,0
50,0,67,12,0,0
70,1,45,16,0,0
60,0,24,16,1,0
70,1,69,12,1,0
85,1,83,13,1,0
15,1,50,16,0,0
50,0,33,10,0,0
85,0,36,16,1,0
50,0,25,14,0,0
50,1,66,13,1,0
85,1,38,17,1,0
70,0,45,14,0,0
100,1,50,13,1,0
85,1,46,16,1,0
70,1,50,12,1,0
50,0,90,8,0,1
60,1,40,14,1,0
70,0,46,11,0,0
40,1,59,12,0,0
85,0,27,17,0,0
50,0,22,12,0,0
60,1,63,12,1,0
0,1,62,14,0,0
60,1,53,13,0,1
100,1,27,17,1,0
60,0,22,12,1,0
70,1,77,12,1,0
70,1,59,16,1,0
100,0,78,9,1,0
40,0,81,13,0,0
50,1,35,11,0,0
85,1,24,11,0,0
100,1,59,12,0,0
50,0,68,12,0,1
90,0,50,12,1,0
0,0,23,11,0,1
50,1,59,12,1,0
30,0,48,12,0,0
85,1,87,8,1,0
50,1,52,14,0,0
70,0,40,17,1,0
70,1,68,12,1,0
70,1,41,14,0,0
70,1,53,15,0,0
30,1,36,17,0,1
50,0,50,12,1,0
60,0,60,16,0,1
70,1,69,14,1,0
30,0,69,14,0,1
70,1,64,12,0,0
85,1,65,13,1,0
60,0,59,15,0,0
70,1,38,12,0,0
50,1,67,11,1,0
60,1,52,12,1,0
85,1,42,12,0,0
70,0,28,12,0,0
100,1,60,11,1,0
70,1,34,14,1,0
70,1,57,12,0,0
50,0,35,12,1,0
85,1,54,14,0,1
85,0,27,10,1,0
50,0,24,13,0,1
0,0,70,12,1,0
85,1,71,12,1,0
60,0,55,14,0,1
100,1,37,12,0,0
100,1,80,15,1,0
60,1,30,16,0,0
70,1,60,12,1,0
60,1,91,8,1,0
15,1,34,16,0,0
